Interval,Timestamp,Flume Depth(mm)[Central1_8S1897],AV Flow(l/s)[Central1_8S1897],Flume Flow(l/s)[Central1_8S1897],Total Precipitation (mm)[RG_RomanoWRP]
15 Min,2021-04-01 0:15,14.16,0.4,0.22,0
15 Min,2021-04-01 0:30,14.95,0.24,0.29,0
15 Min,2021-04-01 0:45,14.88,0.15,0.21,0
15 Min,2021-04-01 1:00,13.1,0.17,0.21,0
15 Min,2021-04-01 1:15,13.96,0.23,0.21,0
15 Min,2021-04-01 1:30,14.62,0.24,0.24,0
15 Min,2021-04-01 1:45,13.76,0.19,0.19,0
15 Min,2021-04-01 2:00,14.49,0.09,0.24,0
15 Min,2021-04-01 2:15,12.77,0,0.18,0
15 Min,2021-04-01 2:30,12.57,0.14,0.19,0
15 Min,2021-04-01 2:45,13.17,0.15,0.19,0
15 Min,2021-04-01 3:00,13.1,0.2,0.2,0
15 Min,2021-04-01 3:15,13.23,0.05,0.18,0
15 Min,2021-04-01 3:30,13.5,0.36,0.2,0
15 Min,2021-04-01 3:45,12.64,0.03,0.19,0
15 Min,2021-04-01 4:00,13.36,0.16,0.2,0
15 Min,2021-04-01 4:15,13.5,0.11,0.19,0
15 Min,2021-04-01 4:30,14.29,0.15,0.22,0
15 Min,2021-04-01 4:45,13.3,0.08,0.2,0
15 Min,2021-04-01 5:00,12.83,0.03,0.18,0
15 Min,2021-04-01 5:15,12.57,0.02,0.18,0
15 Min,2021-04-01 5:30,14.62,0.34,0.29,0
15 Min,2021-04-01 5:45,18.06,0.35,0.37,0
15 Min,2021-04-01 6:00,16.8,0.31,0.24,0
15 Min,2021-04-01 6:15,13.43,0.21,0.19,0
15 Min,2021-04-01 6:30,13.43,0.28,0.21,0
15 Min,2021-04-01 6:45,15.41,0.48,0.27,0
15 Min,2021-04-01 7:00,15.08,0.33,0.25,0
15 Min,2021-04-01 7:15,16.47,0.69,0.32,0
15 Min,2021-04-01 7:30,18.19,0.46,0.34,0
15 Min,2021-04-01 7:45,15.08,0.2,0.24,0
15 Min,2021-04-01 8:00,14.42,0.21,0.26,0
15 Min,2021-04-01 8:15,18.13,0.57,0.39,0
15 Min,2021-04-01 8:30,17.33,0.33,0.27,0
15 Min,2021-04-01 8:45,15.41,0.39,0.27,0
15 Min,2021-04-01 9:00,16.94,0.42,0.31,0
15 Min,2021-04-01 9:15,14.55,0.44,0.23,0
15 Min,2021-04-01 9:30,16.47,0.58,0.31,0
15 Min,2021-04-01 9:45,17,0.49,0.31,0
15 Min,2021-04-01 10:00,17.4,0.35,0.33,0
15 Min,2021-04-01 10:15,14.69,0.12,0.2,0
15 Min,2021-04-01 10:30,15.61,0.28,0.32,0
15 Min,2021-04-01 10:45,17.93,0.39,0.43,0
15 Min,2021-04-01 11:00,20.77,0.45,0.38,0
15 Min,2021-04-01 11:15,16.47,0.41,0.28,0
15 Min,2021-04-01 11:30,13.1,0.3,0.25,0
15 Min,2021-04-01 11:45,18.66,0.29,0.3,0
15 Min,2021-04-01 12:00,14.62,0.24,0.29,0
15 Min,2021-04-01 12:15,17.86,0.35,0.34,0
15 Min,2021-04-01 12:30,17,0.59,0.33,0
15 Min,2021-04-01 12:45,18.19,0.39,0.33,0
15 Min,2021-04-01 13:00,16.6,0.32,0.32,0
15 Min,2021-04-01 13:15,17.6,0.46,0.29,0
15 Min,2021-04-01 13:30,17,0.38,0.34,0
15 Min,2021-04-01 13:45,14.82,0.17,0.24,0
15 Min,2021-04-01 14:00,18.19,0.43,0.37,0
15 Min,2021-04-01 14:15,14.75,0.25,0.25,0
15 Min,2021-04-01 14:30,14.82,0.07,0.22,0
15 Min,2021-04-01 14:45,13.89,0.25,0.28,0
15 Min,2021-04-01 15:00,18.59,0.28,0.37,0
15 Min,2021-04-01 15:15,19.98,0.48,0.41,0
15 Min,2021-04-01 15:30,18.19,0.49,0.33,0
15 Min,2021-04-01 15:45,14.95,0.36,0.23,0
15 Min,2021-04-01 16:00,16.6,1.05,0.41,0
15 Min,2021-04-01 16:15,18.92,0.49,0.31,0
15 Min,2021-04-01 16:30,17.07,0.39,0.41,0
15 Min,2021-04-01 16:45,19.18,0.55,0.32,0
15 Min,2021-04-01 17:00,18.39,0.63,0.36,0
15 Min,2021-04-01 17:15,15.22,0.19,0.23,0
15 Min,2021-04-01 17:30,16.27,0.44,0.33,0
15 Min,2021-04-01 17:45,17.53,0.58,0.34,0
15 Min,2021-04-01 18:00,16.34,0.43,0.26,0
15 Min,2021-04-01 18:15,15.35,0.63,0.26,0
15 Min,2021-04-01 18:30,14.22,0.18,0.21,0
15 Min,2021-04-01 18:45,14.95,0.4,0.28,0
15 Min,2021-04-01 19:00,15.55,0.26,0.25,0
15 Min,2021-04-01 19:15,16.04,0.18,0.28,0
15 Min,2021-04-01 19:30,14.69,0.13,0.23,0
15 Min,2021-04-01 19:45,13.43,0.08,0.26,0
15 Min,2021-04-01 20:00,18.26,0,0.33,0
15 Min,2021-04-01 20:15,17.33,0.01,0.34,0
15 Min,2021-04-01 20:30,15.55,0.07,0.27,0
15 Min,2021-04-01 20:45,15.41,0.01,0.21,0
15 Min,2021-04-01 21:00,13.69,0.01,0.22,0
15 Min,2021-04-01 21:15,13.23,0.02,0.19,0
15 Min,2021-04-01 21:30,14.69,0.13,0.25,0
15 Min,2021-04-01 21:45,14.75,0.08,0.23,0
15 Min,2021-04-01 22:00,14.36,0.06,0.23,0
15 Min,2021-04-01 22:15,14.29,0.11,0.23,0
15 Min,2021-04-01 22:30,13.23,0,0.18,0
15 Min,2021-04-01 22:45,13.43,0.01,0.21,0
15 Min,2021-04-01 23:00,13.5,0.06,0.22,0
15 Min,2021-04-01 23:15,14.49,0.19,0.2,0
15 Min,2021-04-01 23:30,12.83,0.08,0.19,0
15 Min,2021-04-01 23:45,15.94,0.51,0.37,0
15 Min,2021-04-02 0:00,16.34,0.06,0.21,0
15 Min,2021-04-02 0:15,12.9,0.1,0.19,0
15 Min,2021-04-02 0:30,12.44,0.06,0.2,0
15 Min,2021-04-02 0:45,14.55,0.28,0.23,0
15 Min,2021-04-02 1:00,13.3,0.09,0.18,0
15 Min,2021-04-02 1:15,12.5,0.2,0.17,0
15 Min,2021-04-02 1:30,11.97,0.06,0.16,0
15 Min,2021-04-02 1:45,12.44,0.11,0.17,0
15 Min,2021-04-02 2:00,12.57,0.09,0.18,0
15 Min,2021-04-02 2:15,12.97,0.17,0.18,0
15 Min,2021-04-02 2:30,12.17,0.13,0.17,0
15 Min,2021-04-02 2:45,11.97,0.07,0.16,0
15 Min,2021-04-02 3:00,12.37,0.14,0.18,0
15 Min,2021-04-02 3:15,13.1,0.2,0.18,0
15 Min,2021-04-02 3:30,11.84,0.13,0.16,0
15 Min,2021-04-02 3:45,12.17,0.08,0.17,0
15 Min,2021-04-02 4:00,12.04,0.16,0.16,0
15 Min,2021-04-02 4:15,11.78,0.13,0.16,0
15 Min,2021-04-02 4:30,12.11,0.08,0.17,0
15 Min,2021-04-02 4:45,13.1,0.16,0.2,0
15 Min,2021-04-02 5:00,13.43,0.26,0.22,0
15 Min,2021-04-02 5:15,13.69,0.13,0.19,0
15 Min,2021-04-02 5:30,12.24,0.03,0.16,0
15 Min,2021-04-02 5:45,12.24,0.42,0.17,0
15 Min,2021-04-02 6:00,12.31,0.22,0.17,0
15 Min,2021-04-02 6:15,12.57,0.17,0.18,0
15 Min,2021-04-02 6:30,12.83,0.28,0.19,0
15 Min,2021-04-02 6:45,13.76,0.25,0.21,0
15 Min,2021-04-02 7:00,13.56,0.24,0.23,0
15 Min,2021-04-02 7:15,15.02,0.22,0.25,0
15 Min,2021-04-02 7:30,13.1,0.22,0.18,0
15 Min,2021-04-02 7:45,14.09,0.26,0.23,0
15 Min,2021-04-02 8:00,14.22,0.24,0.21,0
15 Min,2021-04-02 8:15,15.61,0.49,0.33,0
15 Min,2021-04-02 8:30,16.27,0.11,0.26,0
15 Min,2021-04-02 8:45,16.21,0.07,0.28,0
15 Min,2021-04-02 9:00,17.4,0.6,0.39,0
15 Min,2021-04-02 9:15,20.51,0.74,0.44,0
15 Min,2021-04-02 9:30,21.43,1.18,0.51,0
15 Min,2021-04-02 9:45,20.84,0.87,0.45,0
15 Min,2021-04-02 10:00,22.16,1.17,0.54,0
15 Min,2021-04-02 10:15,22.89,1.04,0.55,0
15 Min,2021-04-02 10:30,28.11,1.69,0.91,0
15 Min,2021-04-02 10:45,22.16,0.73,0.43,0
15 Min,2021-04-02 11:00,20.64,0.88,0.44,0
15 Min,2021-04-02 11:15,20.64,0.52,0.49,0
15 Min,2021-04-02 11:30,20.38,0.55,0.4,0
15 Min,2021-04-02 11:45,18.13,0.28,0.33,0
15 Min,2021-04-02 12:00,16.87,0.24,0.35,0
15 Min,2021-04-02 12:15,18.52,0.48,0.36,0
15 Min,2021-04-02 12:30,17.86,0.53,0.35,0
15 Min,2021-04-02 12:45,18.32,0.36,0.33,0
15 Min,2021-04-02 13:00,15.61,0.18,0.24,0
15 Min,2021-04-02 13:15,14.88,0.42,0.29,0
15 Min,2021-04-02 13:30,15.15,0.28,0.24,0
15 Min,2021-04-02 13:45,14.49,0.21,0.2,0
15 Min,2021-04-02 14:00,15.68,0.45,0.35,0
15 Min,2021-04-02 14:15,18.32,0.32,0.36,0
15 Min,2021-04-02 14:30,19.71,0.23,0.37,0
15 Min,2021-04-02 14:45,14.29,0.42,0.27,0
15 Min,2021-04-02 15:00,17.6,0.45,0.33,0
15 Min,2021-04-02 15:15,16.08,0.41,0.23,0
15 Min,2021-04-02 15:30,14.49,0.44,0.24,0
15 Min,2021-04-02 15:45,16.41,0.28,0.32,0
15 Min,2021-04-02 16:00,16.27,0.42,0.31,0
15 Min,2021-04-02 16:15,18.79,0.56,0.39,0
15 Min,2021-04-02 16:30,18.46,0.27,0.35,0
15 Min,2021-04-02 16:45,17.53,0.11,0.33,0
15 Min,2021-04-02 17:00,19.78,0.45,0.45,0
15 Min,2021-04-02 17:15,17.93,0.26,0.29,0
15 Min,2021-04-02 17:30,16.21,0.3,0.3,0
15 Min,2021-04-02 17:45,16.34,0.36,0.32,0
15 Min,2021-04-02 18:00,16.47,0.18,0.27,0
15 Min,2021-04-02 18:15,17.53,0.29,0.34,0
15 Min,2021-04-02 18:30,17.4,0.32,0.35,0
15 Min,2021-04-02 18:45,16.21,0.07,0.24,0
15 Min,2021-04-02 19:00,15.55,0.06,0.3,0
15 Min,2021-04-02 19:15,17.2,0.19,0.35,0
15 Min,2021-04-02 19:30,16.01,0.22,0.33,0
15 Min,2021-04-02 19:45,16.87,0.33,0.31,0
15 Min,2021-04-02 20:00,18.99,0.27,0.39,0
15 Min,2021-04-02 20:15,15.48,0.1,0.24,0
15 Min,2021-04-02 20:30,15.41,0.19,0.26,0
15 Min,2021-04-02 20:45,14.75,0.3,0.27,0
15 Min,2021-04-02 21:00,16.34,0.4,0.3,0
15 Min,2021-04-02 21:15,17.33,0.51,0.34,0
15 Min,2021-04-02 21:30,18.13,0.27,0.33,0
15 Min,2021-04-02 21:45,17.4,0.26,0.3,0
15 Min,2021-04-02 22:00,16.74,0.46,0.31,0
15 Min,2021-04-02 22:15,14.29,0.2,0.24,0
15 Min,2021-04-02 22:30,15.88,0.31,0.28,0
15 Min,2021-04-02 22:45,15.68,0.06,0.26,0
15 Min,2021-04-02 23:00,14.29,0,0.21,0
15 Min,2021-04-02 23:15,13.89,0.12,0.21,0
15 Min,2021-04-02 23:30,13.63,0.06,0.21,0
15 Min,2021-04-02 23:45,13.56,0.1,0.23,0
15 Min,2021-04-03 0:00,12.9,0.01,0.18,0
15 Min,2021-04-03 0:15,13.3,0.02,0.21,0
15 Min,2021-04-03 0:30,13.69,0.15,0.2,0
15 Min,2021-04-03 0:45,12.97,0.18,0.17,0
15 Min,2021-04-03 1:00,12.37,0.04,0.19,0
15 Min,2021-04-03 1:15,12.83,0,0.16,0
15 Min,2021-04-03 1:30,11.84,0.01,0.15,0
15 Min,2021-04-03 1:45,11.51,0.01,0.16,0
15 Min,2021-04-03 2:00,12.64,0,0.17,0
15 Min,2021-04-03 2:15,12.9,0.11,0.2,0
15 Min,2021-04-03 2:30,13.23,0.05,0.19,0
15 Min,2021-04-03 2:45,11.84,0,0.16,0
15 Min,2021-04-03 3:00,11.84,0,0.16,0
15 Min,2021-04-03 3:15,12.24,0.06,0.19,0
15 Min,2021-04-03 3:30,15.28,0.03,0.25,0
15 Min,2021-04-03 3:45,12.64,0,0.18,0
15 Min,2021-04-03 4:00,13.63,0,0.2,0
15 Min,2021-04-03 4:15,13.36,0.01,0.2,0
15 Min,2021-04-03 4:30,13.69,0.03,0.2,0
15 Min,2021-04-03 4:45,13.36,0.01,0.22,0
15 Min,2021-04-03 5:00,14.75,0.04,0.23,0
15 Min,2021-04-03 5:15,12.7,0,0.15,0
15 Min,2021-04-03 5:30,12.11,0.02,0.18,0
15 Min,2021-04-03 5:45,11.97,0.14,0.19,0
15 Min,2021-04-03 6:00,15.28,0.19,0.27,0
15 Min,2021-04-03 6:15,14.75,0.12,0.22,0
15 Min,2021-04-03 6:30,13.36,0.05,0.19,0
15 Min,2021-04-03 6:45,13.03,0.19,0.18,0
15 Min,2021-04-03 7:00,11.45,0.01,0.16,0
15 Min,2021-04-03 7:15,13.56,0.16,0.21,0
15 Min,2021-04-03 7:30,14.49,0.17,0.25,0
15 Min,2021-04-03 7:45,13.63,0.17,0.21,0
15 Min,2021-04-03 8:00,16.01,0.28,0.29,0
15 Min,2021-04-03 8:15,15.81,0.14,0.28,0
15 Min,2021-04-03 8:30,15.28,0.07,0.26,0
15 Min,2021-04-03 8:45,14.95,0.08,0.24,0
15 Min,2021-04-03 9:00,14.62,0.43,0.26,0
15 Min,2021-04-03 9:15,15.61,0.57,0.28,0
15 Min,2021-04-03 9:30,14.88,0.23,0.23,0
15 Min,2021-04-03 9:45,16.27,0.33,0.27,0
15 Min,2021-04-03 10:00,17.13,0.53,0.37,0
15 Min,2021-04-03 10:15,16.34,0.27,0.25,0
15 Min,2021-04-03 10:30,15.28,0.39,0.28,0
15 Min,2021-04-03 10:45,16.94,0.48,0.35,0
15 Min,2021-04-03 11:00,17.6,0.31,0.3,0
15 Min,2021-04-03 11:15,15.41,0.38,0.28,0
15 Min,2021-04-03 11:30,14.49,0.25,0.26,0
15 Min,2021-04-03 11:45,16.08,0.24,0.25,0
15 Min,2021-04-03 12:00,16.94,0.8,0.45,0
15 Min,2021-04-03 12:15,20.24,0.38,0.34,0
15 Min,2021-04-03 12:30,15.61,0.27,0.23,0
15 Min,2021-04-03 12:45,14.49,0.32,0.23,0
15 Min,2021-04-03 13:00,15.41,0.31,0.26,0
15 Min,2021-04-03 13:15,16.01,0.61,0.32,0
15 Min,2021-04-03 13:30,16.14,0.34,0.27,0
15 Min,2021-04-03 13:45,16.27,0.55,0.3,0
15 Min,2021-04-03 14:00,16.21,0.31,0.26,0
15 Min,2021-04-03 14:15,14.62,0.5,0.26,0
15 Min,2021-04-03 14:30,16.34,0.28,0.23,0
15 Min,2021-04-03 14:45,15.55,0.37,0.31,0
15 Min,2021-04-03 15:00,17.73,0.55,0.34,0
15 Min,2021-04-03 15:15,15.74,0.43,0.3,0
15 Min,2021-04-03 15:30,15.94,0.41,0.25,0
15 Min,2021-04-03 15:45,15.41,0.49,0.29,0
15 Min,2021-04-03 16:00,15.48,0.24,0.24,0
15 Min,2021-04-03 16:15,14.03,0.26,0.2,0
15 Min,2021-04-03 16:30,13.5,0.39,0.22,0
15 Min,2021-04-03 16:45,14.36,0.48,0.28,0
15 Min,2021-04-03 17:00,17.6,0.73,0.5,0
15 Min,2021-04-03 17:15,21.96,0.72,0.37,0
15 Min,2021-04-03 17:30,16.14,0.65,0.31,0
15 Min,2021-04-03 17:45,18.59,0.4,0.37,0
15 Min,2021-04-03 18:00,18.59,0.39,0.32,0
15 Min,2021-04-03 18:15,17.6,0.51,0.32,0
15 Min,2021-04-03 18:30,13.83,0.29,0.2,0
15 Min,2021-04-03 18:45,14.95,0.39,0.26,0
15 Min,2021-04-03 19:00,15.48,0.6,0.33,0
15 Min,2021-04-03 19:15,17.1,0.53,0.34,0
15 Min,2021-04-03 19:30,21.83,1.07,0.52,0
15 Min,2021-04-03 19:45,17.99,0.52,0.34,0
15 Min,2021-04-03 20:00,17.73,0.68,0.35,0
15 Min,2021-04-03 20:15,16.21,0.26,0.23,0
15 Min,2021-04-03 20:30,15.08,0.61,0.31,0
15 Min,2021-04-03 20:45,15.08,0.3,0.2,0
15 Min,2021-04-03 21:00,14.62,0.39,0.25,0
15 Min,2021-04-03 21:15,14.09,0.5,0.23,0
15 Min,2021-04-03 21:30,16.87,0.48,0.34,0
15 Min,2021-04-03 21:45,17.4,0.3,0.29,0
15 Min,2021-04-03 22:00,14.82,0.28,0.24,0
15 Min,2021-04-03 22:15,14.03,0.16,0.19,0
15 Min,2021-04-03 22:30,12.24,0.2,0.17,0
15 Min,2021-04-03 22:45,12.11,0.21,0.18,0
15 Min,2021-04-03 23:00,13.1,0.13,0.18,0
15 Min,2021-04-03 23:15,12.9,0.32,0.21,0
15 Min,2021-04-03 23:30,12.9,0.14,0.18,0
15 Min,2021-04-03 23:45,12.83,0.17,0.17,0
15 Min,2021-04-04 0:00,12.17,0.26,0.2,0
15 Min,2021-04-04 0:15,15.28,0.3,0.23,0
15 Min,2021-04-04 0:30,13.3,0.16,0.19,0
15 Min,2021-04-04 0:45,12.31,0.37,0.24,0
15 Min,2021-04-04 1:00,15.22,0.48,0.29,0
15 Min,2021-04-04 1:15,16.27,0.35,0.21,0
15 Min,2021-04-04 1:30,12.57,0.12,0.15,0
15 Min,2021-04-04 1:45,11.31,0.11,0.14,0
15 Min,2021-04-04 2:00,11.78,0.3,0.16,0
15 Min,2021-04-04 2:15,11.64,0.12,0.15,0
15 Min,2021-04-04 2:30,12.44,0.24,0.18,0
15 Min,2021-04-04 2:45,11.25,0.1,0.15,0
15 Min,2021-04-04 3:00,11.38,0.11,0.15,0
15 Min,2021-04-04 3:15,11.64,0.14,0.16,0
15 Min,2021-04-04 3:30,11.38,0.14,0.14,0
15 Min,2021-04-04 3:45,12.9,0.18,0.2,0
15 Min,2021-04-04 4:00,13.1,0.1,0.18,0
15 Min,2021-04-04 4:15,12.37,0.24,0.18,0
15 Min,2021-04-04 4:30,13.23,0.12,0.18,0
15 Min,2021-04-04 4:45,11.64,0.2,0.16,0
15 Min,2021-04-04 5:00,12.04,0.25,0.15,0
15 Min,2021-04-04 5:15,11.91,0.24,0.19,0
15 Min,2021-04-04 5:30,12.31,0.16,0.18,0
15 Min,2021-04-04 5:45,15.28,0.78,0.25,0
15 Min,2021-04-04 6:00,14.22,0.33,0.29,0
15 Min,2021-04-04 6:15,17.07,0.27,0.27,0
15 Min,2021-04-04 6:30,14.42,0.26,0.22,0
15 Min,2021-04-04 6:45,16.08,0.33,0.28,0
15 Min,2021-04-04 7:00,13.83,0.33,0.24,0
15 Min,2021-04-04 7:15,14.29,0.36,0.18,0
15 Min,2021-04-04 7:30,11.25,0.25,0.18,0
15 Min,2021-04-04 7:45,14.03,0.2,0.18,0
15 Min,2021-04-04 8:00,12.37,0.43,0.19,0
15 Min,2021-04-04 8:15,14.49,0.71,0.3,0
15 Min,2021-04-04 8:30,17.2,0.54,0.26,0
15 Min,2021-04-04 8:45,14.62,0.21,0.27,0
15 Min,2021-04-04 9:00,14.55,0.48,0.2,0
15 Min,2021-04-04 9:15,14.36,0.59,0.28,0
15 Min,2021-04-04 9:30,17.2,0.68,0.3,0
15 Min,2021-04-04 9:45,16.74,0.45,0.27,0
15 Min,2021-04-04 10:00,15.41,0.4,0.26,0
15 Min,2021-04-04 10:15,12.77,0.23,0.19,0
15 Min,2021-04-04 10:30,12.31,0.12,0.16,0
15 Min,2021-04-04 10:45,12.97,0.38,0.24,0
15 Min,2021-04-04 11:00,16.94,0.37,0.32,0
15 Min,2021-04-04 11:15,17.13,0.26,0.31,0
15 Min,2021-04-04 11:30,15.74,0.37,0.26,0
15 Min,2021-04-04 11:45,14.82,0.18,0.21,0
15 Min,2021-04-04 12:00,18.52,0.31,0.45,0
15 Min,2021-04-04 12:15,17,0.2,0.28,0
15 Min,2021-04-04 12:30,16.67,0.17,0.32,0
15 Min,2021-04-04 12:45,15.55,0.05,0.23,0
15 Min,2021-04-04 13:00,14.03,0.07,0.3,0
15 Min,2021-04-04 13:15,17.86,0.13,0.29,0
15 Min,2021-04-04 13:30,18.19,0.23,0.39,0
15 Min,2021-04-04 13:45,17.99,0.3,0.35,0
15 Min,2021-04-04 14:00,16.94,0.39,0.28,0
15 Min,2021-04-04 14:15,14.55,0.27,0.26,0
15 Min,2021-04-04 14:30,17.2,0.63,0.43,0
15 Min,2021-04-04 14:45,21.04,0.5,0.44,0
15 Min,2021-04-04 15:00,18.32,0.35,0.28,0
15 Min,2021-04-04 15:15,14.29,0.08,0.22,0
15 Min,2021-04-04 15:30,18.92,0.66,0.42,0
15 Min,2021-04-04 15:45,14.82,0.37,0.22,0
15 Min,2021-04-04 16:00,15.48,0.35,0.29,0
15 Min,2021-04-04 16:15,16.21,0.12,0.27,0
15 Min,2021-04-04 16:30,13.89,0.28,0.25,0
15 Min,2021-04-04 16:45,16.67,0.44,0.31,0
15 Min,2021-04-04 17:00,15.94,0.25,0.23,0
15 Min,2021-04-04 17:15,14.55,0.15,0.22,0
15 Min,2021-04-04 17:30,13.36,0.02,0.2,0
15 Min,2021-04-04 17:45,15.48,0.19,0.29,0
15 Min,2021-04-04 18:00,14.95,0.07,0.23,0
15 Min,2021-04-04 18:15,13.96,0,0.19,0
15 Min,2021-04-04 18:30,16.67,0.05,0.36,0
15 Min,2021-04-04 18:45,13.36,0.05,0.18,0
15 Min,2021-04-04 19:00,12.97,0.03,0.2,0
15 Min,2021-04-04 19:15,13.46,0.15,0.25,0
15 Min,2021-04-04 19:30,16.6,0.16,0.28,0
15 Min,2021-04-04 19:45,14.09,0,0.18,0
15 Min,2021-04-04 20:00,12.7,0.19,0.21,0
15 Min,2021-04-04 20:15,16.27,0.16,0.3,0
15 Min,2021-04-04 20:30,14.55,0,0.22,0
15 Min,2021-04-04 20:45,14.82,0.06,0.24,0
15 Min,2021-04-04 21:00,14.16,0.13,0.23,0
15 Min,2021-04-04 21:15,14.42,0.04,0.21,0
15 Min,2021-04-04 21:30,12.83,0.13,0.18,0
15 Min,2021-04-04 21:45,11.45,0.07,0.18,0
15 Min,2021-04-04 22:00,16.14,0.13,0.26,0
15 Min,2021-04-04 22:15,14.69,0.3,0.27,0
15 Min,2021-04-04 22:30,16.54,0.16,0.29,0
15 Min,2021-04-04 22:45,13.76,0.01,0.18,0
15 Min,2021-04-04 23:00,13.36,0.07,0.2,0
15 Min,2021-04-04 23:15,12.57,0.04,0.17,0
15 Min,2021-04-04 23:30,13.3,0.02,0.23,0
15 Min,2021-04-04 23:45,15.22,0,0.25,0
15 Min,2021-04-05 0:00,15.35,0.01,0.25,0
15 Min,2021-04-05 0:15,16.67,0.19,0.31,0
15 Min,2021-04-05 0:30,15.41,0,0.27,0
15 Min,2021-04-05 0:45,15.61,0,0.25,0
15 Min,2021-04-05 1:00,14.62,0,0.24,0
15 Min,2021-04-05 1:15,14.75,0.02,0.24,0
15 Min,2021-04-05 1:30,15.55,0.2,0.27,0
15 Min,2021-04-05 1:45,15.68,0,0.27,0
15 Min,2021-04-05 2:00,16.34,0.1,0.31,0
15 Min,2021-04-05 2:15,16.74,0,0.3,0
15 Min,2021-04-05 2:30,15.48,0,0.24,0
15 Min,2021-04-05 2:45,14.88,0,0.27,0
15 Min,2021-04-05 3:00,15.61,0,0.25,0
15 Min,2021-04-05 3:15,15.41,0,0.26,0
15 Min,2021-04-05 3:30,14.95,0,0.24,0
15 Min,2021-04-05 3:45,15.22,0,0.25,0
15 Min,2021-04-05 4:00,15.74,0.04,0.29,0
15 Min,2021-04-05 4:15,15.55,0.18,0.28,0
15 Min,2021-04-05 4:30,21.7,0,0.59,0
15 Min,2021-04-05 4:45,23.15,0.09,0.52,0
15 Min,2021-04-05 5:00,20.77,0,0.46,0
15 Min,2021-04-05 5:15,22.09,0,0.55,0
15 Min,2021-04-05 5:30,21.63,0.05,0.44,0
15 Min,2021-04-05 5:45,21.57,0,0.55,0
15 Min,2021-04-05 6:00,21.23,0.2,0.42,0
15 Min,2021-04-05 6:15,17.99,0.24,0.34,0
15 Min,2021-04-05 6:30,15.15,0.13,0.23,0
15 Min,2021-04-05 6:45,15.68,0.07,0.25,0
15 Min,2021-04-05 7:00,14.03,0.08,0.22,0
15 Min,2021-04-05 7:15,13.03,0.17,0.17,0
15 Min,2021-04-05 7:30,13.56,0.11,0.49,0
15 Min,2021-04-05 7:45,26.26,0.09,0.53,0
15 Min,2021-04-05 8:00,15.28,0.25,0.26,0
15 Min,2021-04-05 8:15,16.27,0.25,0.27,0
15 Min,2021-04-05 8:30,14.29,0.11,0.22,0
15 Min,2021-04-05 8:45,18.46,0.05,0.47,0
15 Min,2021-04-05 9:00,21.43,0.17,0.48,0
15 Min,2021-04-05 9:15,20.64,0.3,0.39,0
15 Min,2021-04-05 9:30,15.15,0.2,0.22,0
15 Min,2021-04-05 9:45,14.55,0.2,0.26,0
15 Min,2021-04-05 10:00,16.14,0.18,0.26,0
15 Min,2021-04-05 10:15,13.36,0.13,0.21,0
15 Min,2021-04-05 10:30,14.75,0.27,0.28,0
15 Min,2021-04-05 10:45,16.94,0.17,0.26,0
15 Min,2021-04-05 11:00,14.29,0.12,0.28,0
15 Min,2021-04-05 11:15,18.26,0.14,0.31,0
15 Min,2021-04-05 11:30,13.96,0.14,0.23,0
15 Min,2021-04-05 11:45,16.47,0.24,0.36,0
15 Min,2021-04-05 12:00,18.92,0.3,0.34,0.1
15 Min,2021-04-05 12:15,16.14,0.11,0.26,0.6
15 Min,2021-04-05 12:30,19.38,0.17,0.44,0.2
15 Min,2021-04-05 12:45,15.15,0.01,0.23,0.1
15 Min,2021-04-05 13:00,13.76,0,0.21,0.8
15 Min,2021-04-05 13:15,15.15,0.47,0.41,0.2
15 Min,2021-04-05 13:30,20.24,0.72,0.32,0
15 Min,2021-04-05 13:45,16.67,0.25,0.28,0
15 Min,2021-04-05 14:00,13.69,0.12,0.21,0
15 Min,2021-04-05 14:15,14.42,0.21,0.27,0
15 Min,2021-04-05 14:30,18.46,0.35,0.36,0
15 Min,2021-04-05 14:45,17.13,0.38,0.34,0
15 Min,2021-04-05 15:00,16.54,0.11,0.24,0
15 Min,2021-04-05 15:15,13.83,0.04,0.23,0
15 Min,2021-04-05 15:30,15.94,0.16,0.27,0
15 Min,2021-04-05 15:45,17,0.34,0.34,0
15 Min,2021-04-05 16:00,16.34,0.17,0.31,0
15 Min,2021-04-05 16:15,22.56,0.45,0.64,0
15 Min,2021-04-05 16:30,16.01,0.09,0.24,0
15 Min,2021-04-05 16:45,16.41,0.06,0.26,0
15 Min,2021-04-05 17:00,15.22,0.06,0.26,0
15 Min,2021-04-05 17:15,14.22,0.19,0.24,0
15 Min,2021-04-05 17:30,16.21,0.22,0.33,0
15 Min,2021-04-05 17:45,19.85,0.88,0.42,0
15 Min,2021-04-05 18:00,16.94,0.65,0.27,0
15 Min,2021-04-05 18:15,14.88,0.37,0.39,0
15 Min,2021-04-05 18:30,25.34,0.33,0.57,0
15 Min,2021-04-05 18:45,17.6,0.78,0.38,0
15 Min,2021-04-05 19:00,19.52,0.95,0.37,0
15 Min,2021-04-05 19:15,18.49,0.55,0.31,0
15 Min,2021-04-05 19:30,14.88,0.18,0.21,0
15 Min,2021-04-05 19:45,13.83,0.16,0.23,0
15 Min,2021-04-05 20:00,15.68,0.03,0.27,0
15 Min,2021-04-05 20:15,14.16,0.04,0.23,0
